figure_id,path,referenced_by,issue,action,replacement_path,file_size_bytes,dpi_x,dpi_y,forbidden_visible_terms_checked,forbidden_visible_terms_found,checks,qa_status
evidence_layer_overview,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/evidence_layer_overview.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,evidence_layer_overview no longer uses all-one artifact-present bars.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/evidence_layer_overview.png,641808,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
runtime_payload_schema,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/runtime_payload_schema.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,runtime_payload_schema is rendered as a contract comparison instead of a generic schema plot.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/runtime_payload_schema.png,307464,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
runtime_semantic_case,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/runtime_semantic_case.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,uses a compact selected-window axis and replaces near-flat/repeated attribution bars with case-level semantic attribution and task-output ranges.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/runtime_semantic_case.png,297876,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
rigid_body_rotation_audit,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/rigid_body_rotation_audit.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,"rotation rate absence is shown as a matrix, not empty bars.",automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/rigid_body_rotation_audit.png,261719,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
weak_label_sweep_ablation,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/weak_label_sweep_ablation.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,weak-label sweep no longer uses two near-identical bars.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/weak_label_sweep_ablation.png,266999,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
chronaris_opt_component_ablation,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/chronaris_opt_component_ablation.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,mixed-unit delta bars are replaced by task facets plus normalized contribution.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/chronaris_opt_component_ablation.png,491079,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
model_backbone_ablation,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/model_backbone_ablation.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,current thesis figure quality check,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/model_backbone_ablation.png,231612,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
task_adapter_ablation,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/task_adapter_ablation.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,current thesis figure quality check,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/task_adapter_ablation.png,212239,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
public_transfer_boundary,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/public_transfer_boundary.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,defensive boundary copy is replaced by positive Chinese role wording.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/public_transfer_boundary.png,315833,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
semantic_event_fusion_overview,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/semantic_event_fusion_overview.png,docs/artifacts/stage_i/stage-i-thesis-materials-20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh.md,replaces the old Stage G minimal causal-mask heatmap as the main semantic fusion figure.,automated PNG/table/manifest quality checks completed,docs/artifacts/assets/stage_i_thesis_figures/20260619T-stage-i-thesis-materials-r5-leakage-safe-refresh/semantic_event_fusion_overview.png,225800,299.9994,299.9994,Stage I;P11;P12;resume;partial_blocked;private_proxy;sortie,,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_at_least_300"": true}",pass
