split_id,outer_pool_id,split_kind,main_selection,role,context_id,residual_response,high_residual_response,high_residual_threshold,selected_descriptor_count,fit_sample_hash,status,outer_test_opened
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0005,0.29773888507848734,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0006,0.3840274434749396,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0007,1.6758013451573723,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0008,1.8271451318174055,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0009,1.5049331658285712,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0010,1.8440734276811106,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0011,1.673300335242303,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0012,0.7503287058359877,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0013,0.23560429796769763,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0024,0.18721512705889612,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0025,0.16961508981282003,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0026,0.4191165038688488,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0027,0.308336391741849,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0028,0.2252474372422831,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0029,1.1528748353370364,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0030,1.1757399740096313,1,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0031,0.1933342114827275,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0032,0.1556137204168895,0,1.1757399740096313,46,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
