fold_id,split_strategy,held_out_group,task_id,task_name,task_type,split_role,context_id,score,class_label,continuous_target,high_response_label,valid_field_count,status,fit_sample_hash,representative_statistic
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0005,0.02806928290500953,low,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0006,0.11936118816663795,low,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0007,0.26926684366605125,low,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0008,0.3557384917185687,medium,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0009,1.3323185867529523,high,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0010,0.4252487430803583,medium,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0011,0.3827786305266107,medium,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0012,0.18248101315034532,low,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0013,0.2603395111760146,low,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
leave_one_view_out__fold01,leave_one_view_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,dingxin_maneuver_intensity_weak_classification_v2,机动强度弱监督分类,classification,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0014,0.28758684445168037,medium,,,5,completed,d78562fbcd98e27ad11950b425176c9a00fbb4b97247cce00e9c76ae20178da1,
