split_id,candidate_id,epoch,gradient_cosine_maneuver_response,gradient_cosine_maneuver_high_response,gradient_cosine_response_high_response
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,1,-0.026979994028806686,0.015182367525994778,0.04063819721341133
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,2,0.20776484906673431,0.05685543268918991,0.0376635305583477
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,3,0.20619383454322815,0.1027761697769165,-0.10103068500757217
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,4,0.10876402258872986,0.05491575598716736,-0.01002878975123167
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,5,0.15228143334388733,0.05528299883008003,-0.04918612167239189
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,6,0.12010542303323746,0.08080098778009415,-0.07420714199542999
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,7,0.13375625014305115,0.09401792287826538,-0.013513750396668911
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,8,0.09222535043954849,0.04308629781007767,0.01198565773665905
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,9,0.01714101806282997,0.036342572420835495,0.05912063270807266
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,10,0.04641357436776161,0.08451076596975327,-0.05004090443253517
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,11,-0.014146014116704464,0.07166621834039688,0.018366830423474312
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,12,0.043395232409238815,0.11012294143438339,0.057091161608695984
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,13,-0.01866641268134117,0.08126532286405563,-0.0018421018030494452
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,14,0.03092453069984913,0.10912013798952103,-0.0023378690239042044
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,15,0.008360185660421848,0.048489268869161606,0.06373950093984604
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,16,-0.029814261943101883,-0.005986589938402176,0.11783166974782944
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,17,0.009307263419032097,0.0672493651509285,0.056751690804958344
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,18,-0.09602171927690506,0.03279152885079384,0.0965694934129715
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,19,-0.13333666324615479,0.03961051627993584,0.1684553176164627
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,20,-0.1102117970585823,0.0033132722601294518,0.16010606288909912
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,21,-0.12588438391685486,0.0025226811412721872,0.16517233848571777
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,22,-0.056101325899362564,0.04567773640155792,0.14316913485527039
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,23,-0.032673466950654984,0.004733242094516754,0.18054211139678955
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,24,-0.08630429953336716,-0.010584963485598564,0.14054326713085175
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,25,-0.08344093710184097,-0.0191924087703228,0.19626109302043915
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,26,-0.004163860809057951,0.005617006681859493,0.35767942667007446
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,27,0.05091240629553795,0.010989230126142502,0.3275652527809143
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,28,-0.07228776812553406,-0.03983506187796593,-0.15885482728481293
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,29,-0.07308237999677658,0.02456597425043583,0.05164005607366562
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,30,-0.10802343487739563,0.005844347644597292,-0.012944581918418407
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,31,0.08691038936376572,0.030272074043750763,0.048351626843214035
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,32,0.11481241881847382,0.0787246897816658,0.3029021620750427
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,33,0.11959335207939148,0.0779888853430748,0.12595844268798828
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,34,-0.10009875893592834,-0.06015333905816078,-0.45973339676856995
