sample_id,group_id,profile_id,trajectory_id,role,scenario_id,context_start_s,context_end_s,observed_path,observed_sha256,oracle_opened_for_representation
g1_state_space__train_profile_000__trajectory_000__seed_100000__clean_asynchronous::context_030.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_000__seed_100000,train,clean_asynchronous,30.0,60.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_000__seed_100000/clean_asynchronous/raw_dual_stream.npz,7413b1e95689c77d0ead3ef3da58eddc9c961e23a95def3adde921cc6b3d1189,False
g1_state_space__train_profile_000__trajectory_000__seed_100000__clean_asynchronous::context_060.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_000__seed_100000,train,clean_asynchronous,60.0,90.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_000__seed_100000/clean_asynchronous/raw_dual_stream.npz,7413b1e95689c77d0ead3ef3da58eddc9c961e23a95def3adde921cc6b3d1189,False
g1_state_space__train_profile_000__trajectory_000__seed_100000__clean_asynchronous::context_090.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_000__seed_100000,train,clean_asynchronous,90.0,120.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_000__seed_100000/clean_asynchronous/raw_dual_stream.npz,7413b1e95689c77d0ead3ef3da58eddc9c961e23a95def3adde921cc6b3d1189,False
g1_state_space__train_profile_000__trajectory_000__seed_100000__clean_asynchronous::context_120.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_000__seed_100000,train,clean_asynchronous,120.0,150.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_000__seed_100000/clean_asynchronous/raw_dual_stream.npz,7413b1e95689c77d0ead3ef3da58eddc9c961e23a95def3adde921cc6b3d1189,False
g1_state_space__train_profile_000__trajectory_001__seed_100001__clean_asynchronous::context_030.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_001__seed_100001,train,clean_asynchronous,30.0,60.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_001__seed_100001/clean_asynchronous/raw_dual_stream.npz,68eb41a3a1045e89189c8c6ee575fbcd6b8e0dfd0ea5ab847a4ccdba10e0379c,False
g1_state_space__train_profile_000__trajectory_001__seed_100001__clean_asynchronous::context_060.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_001__seed_100001,train,clean_asynchronous,60.0,90.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_001__seed_100001/clean_asynchronous/raw_dual_stream.npz,68eb41a3a1045e89189c8c6ee575fbcd6b8e0dfd0ea5ab847a4ccdba10e0379c,False
g1_state_space__train_profile_000__trajectory_001__seed_100001__clean_asynchronous::context_090.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_001__seed_100001,train,clean_asynchronous,90.0,120.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_001__seed_100001/clean_asynchronous/raw_dual_stream.npz,68eb41a3a1045e89189c8c6ee575fbcd6b8e0dfd0ea5ab847a4ccdba10e0379c,False
g1_state_space__train_profile_000__trajectory_001__seed_100001__clean_asynchronous::context_120.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_001__seed_100001,train,clean_asynchronous,120.0,150.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_001__seed_100001/clean_asynchronous/raw_dual_stream.npz,68eb41a3a1045e89189c8c6ee575fbcd6b8e0dfd0ea5ab847a4ccdba10e0379c,False
g1_state_space__train_profile_000__trajectory_002__seed_100002__clean_asynchronous::context_030.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_002__seed_100002,train,clean_asynchronous,30.0,60.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_002__seed_100002/clean_asynchronous/raw_dual_stream.npz,1c3dbdcf5c4fb0ba141411c58ece3cd382fd6545058d238df05d68b2409dac84,False
g1_state_space__train_profile_000__trajectory_002__seed_100002__clean_asynchronous::context_060.000,train_profile_000,train_profile_000,g1_state_space__train_profile_000__trajectory_002__seed_100002,train,clean_asynchronous,60.0,90.0,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_002__seed_100002/clean_asynchronous/raw_dual_stream.npz,1c3dbdcf5c4fb0ba141411c58ece3cd382fd6545058d238df05d68b2409dac84,False
