method_name,epoch,step,batch_sample_ids,augmentation_ids,gradient_norm_before_clip,continuous_alignment_weight,physical_consistency_weight,causal_direction_weight,term_name,weight,status,count,raw_loss,weighted_loss,reason
physiology_only,1,1,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0005'],['a73f4c6bb073c1a7e7a9231a4f03615e0e798bf504c2531632ec0780fd69d327'],0.35852906107902527,0.0,0.0,0.0,masked_reconstruction,1.0,active,58550,1.2251217365264893,1.2251217365264893,
physiology_only,1,1,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0005'],['a73f4c6bb073c1a7e7a9231a4f03615e0e798bf504c2531632ec0780fd69d327'],0.35852906107902527,0.0,0.0,0.0,short_horizon_prediction,0.5,active,91690,2.376824140548706,1.188412070274353,
physiology_only,1,1,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0005'],['a73f4c6bb073c1a7e7a9231a4f03615e0e798bf504c2531632ec0780fd69d327'],0.35852906107902527,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.7209481000900269,0.14418962597846985,
physiology_only,1,2,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0006'],['7a2e709eebe924dfa1da932d79c7f4c068430e5e68963c19da3d24f91e483d01'],0.2742605209350586,0.0,0.0,0.0,masked_reconstruction,1.0,active,62576,1.6850345134735107,1.6850345134735107,
physiology_only,1,2,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0006'],['7a2e709eebe924dfa1da932d79c7f4c068430e5e68963c19da3d24f91e483d01'],0.2742605209350586,0.0,0.0,0.0,short_horizon_prediction,0.5,active,90517,2.481947898864746,1.240973949432373,
physiology_only,1,2,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0006'],['7a2e709eebe924dfa1da932d79c7f4c068430e5e68963c19da3d24f91e483d01'],0.2742605209350586,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.698724091053009,0.1397448182106018,
physiology_only,1,3,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0007'],['eb931d3487fad1b2b4c063c94471648de808fd8150479af1f4a66c833ee94229'],0.25407928228378296,0.0,0.0,0.0,masked_reconstruction,1.0,active,57360,0.9209063649177551,0.9209063649177551,
physiology_only,1,3,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0007'],['eb931d3487fad1b2b4c063c94471648de808fd8150479af1f4a66c833ee94229'],0.25407928228378296,0.0,0.0,0.0,short_horizon_prediction,0.5,active,78958,2.8573193550109863,1.4286596775054932,
physiology_only,1,3,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0007'],['eb931d3487fad1b2b4c063c94471648de808fd8150479af1f4a66c833ee94229'],0.25407928228378296,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.6895527839660645,0.13791055977344513,
physiology_only,1,4,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0008'],['a59d0ac3e9aa6573c9626507cf6e012526db733a3337f868c248ff5522018517'],0.2458450049161911,0.0,0.0,0.0,masked_reconstruction,1.0,active,60088,1.7087258100509644,1.7087258100509644,
physiology_only,1,4,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0008'],['a59d0ac3e9aa6573c9626507cf6e012526db733a3337f868c248ff5522018517'],0.2458450049161911,0.0,0.0,0.0,short_horizon_prediction,0.5,active,82572,2.4281718730926514,1.2140859365463257,
physiology_only,1,4,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0008'],['a59d0ac3e9aa6573c9626507cf6e012526db733a3337f868c248ff5522018517'],0.2458450049161911,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.6966739296913147,0.1393347829580307,
physiology_only,1,5,['20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0009'],['4de6103c36fd25c83bffbf6ccc107cbc32b0bcba45dc299114f757e009d0a688'],0.23029354214668274,0.0,0.0,0.0,masked_reconstruction,1.0,active,85760,2.7785096168518066,2.7785096168518066,
