fold_id,outer_split_strategy,inner_split_strategy,context_id,role,sortie_id,view_id,start_offset_ms,end_offset_ms
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0005,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,0,30000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0006,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,5000,35000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0007,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,10000,40000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0008,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,15000,45000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0009,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20000,50000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0010,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,25000,55000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0011,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,30000,60000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0012,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,35000,65000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0013,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,40000,70000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0014,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,45000,75000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0015,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,50000,80000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0016,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,55000,85000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0017,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,60000,90000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0018,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,65000,95000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0019,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,70000,100000
leave_one_view_out__fold01,leave_one_view_out,leave_one_outer_train_sortie_out,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0020,inner_train,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,75000,105000
