method_name,role,task_name,metric_name,value,status,reason,smoke_only
physiology_only,validation,simulated_future_workload_classification,macro_f1,0.3333333333333333,available,,True
physiology_only,validation,simulated_future_workload_classification,balanced_accuracy,0.5,available,,True
physiology_only,validation,simulated_future_workload_classification,macro_auprc,0.7083333333333333,available,,True
physiology_only,validation,simulated_future_workload_regression,mae,0.15646725077260448,available,,True
physiology_only,validation,simulated_future_workload_regression,rmse,0.15986659821754215,available,,True
physiology_only,validation,simulated_future_workload_regression,spearman,-0.19999999999999998,available,,True
physiology_only,held_out,simulated_future_workload_classification,macro_f1,0.5,available,,True
physiology_only,held_out,simulated_future_workload_classification,balanced_accuracy,0.6666666666666666,available,,True
physiology_only,held_out,simulated_future_workload_classification,macro_auprc,1.0,available,,True
physiology_only,held_out,simulated_future_workload_regression,mae,0.20344572876550895,available,,True
physiology_only,held_out,simulated_future_workload_regression,rmse,0.23321751200820523,available,,True
physiology_only,held_out,simulated_future_workload_regression,spearman,1.0,available,,True
vehicle_only,validation,simulated_future_workload_classification,macro_f1,0.16666666666666666,available,,True
vehicle_only,validation,simulated_future_workload_classification,balanced_accuracy,0.25,available,,True
vehicle_only,validation,simulated_future_workload_classification,macro_auprc,0.5833333333333333,available,,True
vehicle_only,validation,simulated_future_workload_regression,mae,0.42268191818786044,available,,True
vehicle_only,validation,simulated_future_workload_regression,rmse,0.5449798523768987,available,,True
vehicle_only,validation,simulated_future_workload_regression,spearman,-0.7999999999999999,available,,True
vehicle_only,held_out,simulated_future_workload_classification,macro_f1,0.3333333333333333,available,,True
vehicle_only,held_out,simulated_future_workload_classification,balanced_accuracy,0.3333333333333333,available,,True
vehicle_only,held_out,simulated_future_workload_classification,macro_auprc,0.7083333333333333,available,,True
vehicle_only,held_out,simulated_future_workload_regression,mae,0.5367559271345159,available,,True
vehicle_only,held_out,simulated_future_workload_regression,rmse,0.5391771115613396,available,,True
vehicle_only,held_out,simulated_future_workload_regression,spearman,0.6000000000000001,available,,True
naive_time_sync,validation,simulated_future_workload_classification,macro_f1,0.13333333333333333,available,,True
naive_time_sync,validation,simulated_future_workload_classification,balanced_accuracy,0.25,available,,True
naive_time_sync,validation,simulated_future_workload_classification,macro_auprc,0.5,available,,True
naive_time_sync,validation,simulated_future_workload_regression,mae,0.0911108558661515,available,,True
naive_time_sync,validation,simulated_future_workload_regression,rmse,0.11322996724944123,available,,True
naive_time_sync,validation,simulated_future_workload_regression,spearman,0.39999999999999997,available,,True
naive_time_sync,held_out,simulated_future_workload_classification,macro_f1,0.0,available,,True
naive_time_sync,held_out,simulated_future_workload_classification,balanced_accuracy,0.0,available,,True
naive_time_sync,held_out,simulated_future_workload_classification,macro_auprc,0.48611111111111105,available,,True
naive_time_sync,held_out,simulated_future_workload_regression,mae,0.28660235708663473,available,,True
naive_time_sync,held_out,simulated_future_workload_regression,rmse,0.29092055469549916,available,,True
naive_time_sync,held_out,simulated_future_workload_regression,spearman,0.39999999999999997,available,,True
mult,validation,simulated_future_workload_classification,macro_f1,0.0,available,,True
mult,validation,simulated_future_workload_classification,balanced_accuracy,0.0,available,,True
mult,validation,simulated_future_workload_classification,macro_auprc,0.5833333333333333,available,,True
mult,validation,simulated_future_workload_regression,mae,0.20734891972830172,available,,True
mult,validation,simulated_future_workload_regression,rmse,0.22869529358618068,available,,True
mult,validation,simulated_future_workload_regression,spearman,-0.19999999999999998,available,,True
mult,held_out,simulated_future_workload_classification,macro_f1,0.13333333333333333,available,,True
mult,held_out,simulated_future_workload_classification,balanced_accuracy,0.16666666666666666,available,,True
mult,held_out,simulated_future_workload_classification,macro_auprc,0.4444444444444444,available,,True
mult,held_out,simulated_future_workload_regression,mae,0.26129568895409117,available,,True
mult,held_out,simulated_future_workload_regression,rmse,0.3025189206146917,available,,True
mult,held_out,simulated_future_workload_regression,spearman,0.19999999999999998,available,,True
contiformer,validation,simulated_future_workload_classification,macro_f1,0.16666666666666666,available,,True
contiformer,validation,simulated_future_workload_classification,balanced_accuracy,0.25,available,,True
contiformer,validation,simulated_future_workload_classification,macro_auprc,0.4583333333333333,available,,True
contiformer,validation,simulated_future_workload_regression,mae,0.318624073459629,available,,True
contiformer,validation,simulated_future_workload_regression,rmse,0.3951149485389111,available,,True
contiformer,validation,simulated_future_workload_regression,spearman,-0.7999999999999999,available,,True
contiformer,held_out,simulated_future_workload_classification,macro_f1,0.3333333333333333,available,,True
contiformer,held_out,simulated_future_workload_classification,balanced_accuracy,0.3333333333333333,available,,True
contiformer,held_out,simulated_future_workload_classification,macro_auprc,0.6527777777777778,available,,True
contiformer,held_out,simulated_future_workload_regression,mae,0.23222482972240652,available,,True
contiformer,held_out,simulated_future_workload_regression,rmse,0.25400097376009634,available,,True
contiformer,held_out,simulated_future_workload_regression,spearman,0.7999999999999999,available,,True
chronaris,validation,simulated_future_workload_classification,macro_f1,0.0,available,,True
chronaris,validation,simulated_future_workload_classification,balanced_accuracy,0.0,available,,True
chronaris,validation,simulated_future_workload_classification,macro_auprc,0.4583333333333333,available,,True
chronaris,validation,simulated_future_workload_regression,mae,0.09744387052347536,available,,True
chronaris,validation,simulated_future_workload_regression,rmse,0.14944898887014887,available,,True
chronaris,validation,simulated_future_workload_regression,spearman,0.6000000000000001,available,,True
chronaris,held_out,simulated_future_workload_classification,macro_f1,0.0,available,,True
chronaris,held_out,simulated_future_workload_classification,balanced_accuracy,0.0,available,,True
chronaris,held_out,simulated_future_workload_classification,macro_auprc,0.7083333333333333,available,,True
