method_name,epoch,step,batch_sample_ids,augmentation_ids,gradient_norm_before_clip,continuous_alignment_weight,physical_consistency_weight,causal_direction_weight,term_name,weight,status,count,raw_loss,weighted_loss,reason
physiology_only,1,1,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0005'],['7bfd2cdd4e63251892163a99953ad2c8cf3c2770bc5819d6a13e86a9fb944241'],0.3279362618923187,0.0,0.0,0.0,masked_reconstruction,1.0,active,75067,1.5635665655136108,1.5635665655136108,
physiology_only,1,1,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0005'],['7bfd2cdd4e63251892163a99953ad2c8cf3c2770bc5819d6a13e86a9fb944241'],0.3279362618923187,0.0,0.0,0.0,short_horizon_prediction,0.5,active,91690,2.192556858062744,1.096278429031372,
physiology_only,1,1,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0005'],['7bfd2cdd4e63251892163a99953ad2c8cf3c2770bc5819d6a13e86a9fb944241'],0.3279362618923187,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.7073959112167358,0.14147917926311493,
physiology_only,1,2,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0006'],['a24138b5173920cbec062c9a1285b462ae67230f10ea19653b5b57164013228a'],0.2873341739177704,0.0,0.0,0.0,masked_reconstruction,1.0,active,60040,0.8855835795402527,0.8855835795402527,
physiology_only,1,2,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0006'],['a24138b5173920cbec062c9a1285b462ae67230f10ea19653b5b57164013228a'],0.2873341739177704,0.0,0.0,0.0,short_horizon_prediction,0.5,active,90517,2.2714521884918213,1.1357260942459106,
physiology_only,1,2,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0006'],['a24138b5173920cbec062c9a1285b462ae67230f10ea19653b5b57164013228a'],0.2873341739177704,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.6979727745056152,0.13959455490112305,
physiology_only,1,3,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0007'],['804f17089cde0e4242c046aa0ed3f5d9c98e81789e68e60a3aa65e9e3e6cccef'],0.2546674609184265,0.0,0.0,0.0,masked_reconstruction,1.0,active,58903,1.1488134860992432,1.1488134860992432,
physiology_only,1,3,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0007'],['804f17089cde0e4242c046aa0ed3f5d9c98e81789e68e60a3aa65e9e3e6cccef'],0.2546674609184265,0.0,0.0,0.0,short_horizon_prediction,0.5,active,78958,2.6286187171936035,1.3143093585968018,
physiology_only,1,3,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0007'],['804f17089cde0e4242c046aa0ed3f5d9c98e81789e68e60a3aa65e9e3e6cccef'],0.2546674609184265,0.0,0.0,0.0,lag_discrimination,0.2,active,2,0.6934759616851807,0.13869519531726837,
physiology_only,1,4,['20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0008'],['3f5b887a4755c6de92070b01142e77b63ce19532ba0e6a9c6ab9f03e61f188b1'],0.2351868450641632,0.0,0.0,0.0,masked_reconstruction,1.0,active,61632,1.7974953651428223,1.7974953651428223,
