seed,method_name,epoch,train_classification_loss,train_regression_loss,train_segmentation_loss,validation_classification_loss,validation_regression_loss,validation_segmentation_loss,validation_selection_loss,gradient_norm_before_clip_last_step,improved,epochs_without_improvement
17,physiology_only,1,1.596987009048462,1.145494858423869,1.6448870499928792,1.6989997625350952,1.1853370666503906,1.6252468824386597,4.5095837116241455,5.335615634918213,True,0
17,physiology_only,2,1.5064987341562908,1.1262063185373943,1.6122592290242512,1.6023699045181274,1.1637659072875977,1.6060937643051147,4.37222957611084,6.013598442077637,True,0
17,physiology_only,3,1.4299243291219075,1.1067648728688557,1.5907326539357503,1.5139468908309937,1.1469802856445312,1.5920798778533936,4.2530070543289185,4.464958190917969,True,0
17,physiology_only,4,1.3582618633906047,1.0878250400225322,1.5745277404785156,1.4345518350601196,1.1309529542922974,1.580081582069397,4.145586371421814,4.516852855682373,True,0
17,physiology_only,5,1.3021708329518635,1.0714921951293945,1.5588555335998535,1.3671083450317383,1.1144354343414307,1.5697354078292847,4.051279187202454,3.1392812728881836,True,0
17,physiology_only,6,1.2498514652252197,1.0547137061754863,1.547514796257019,1.3086045980453491,1.0998895168304443,1.5586129426956177,3.967107057571411,4.247973918914795,True,0
17,physiology_only,7,1.2096880276997883,1.038130561510722,1.5358403126398723,1.2593671083450317,1.0863370895385742,1.5485258102416992,3.894230008125305,3.632659673690796,True,0
17,physiology_only,8,1.1837013959884644,1.0222231944402058,1.5234924952189128,1.216288447380066,1.0692298412322998,1.539089322090149,3.8246076107025146,2.629324197769165,True,0
17,physiology_only,9,1.1603604157765706,1.005710780620575,1.5102462371190388,1.1801515817642212,1.0523515939712524,1.5313208103179932,3.763823986053467,1.85019052028656,True,0
17,physiology_only,10,1.145449956258138,0.9942529201507568,1.5030251741409302,1.1512655019760132,1.034278392791748,1.5253686904907227,3.710912585258484,1.647688388824463,True,0
17,physiology_only,11,1.1330487728118896,0.9780821402867635,1.4916864236195881,1.1284170150756836,1.0176347494125366,1.5202733278274536,3.666325092315674,1.8604683876037598,True,0
17,physiology_only,12,1.1261042356491089,0.9609581828117371,1.4851290782292683,1.1109752655029297,1.0018446445465088,1.516729712486267,3.6295496225357056,2.0823919773101807,True,0
17,physiology_only,13,1.1183268229166667,0.9441578388214111,1.474988540013631,1.0983715057373047,0.9875900149345398,1.5145238637924194,3.600485384464264,2.258145809173584,True,0
17,physiology_only,14,1.114875316619873,0.93283083041509,1.469651222229004,1.0899600982666016,0.977226197719574,1.5110491514205933,3.578235447406769,3.4358019828796387,True,0
17,physiology_only,15,1.1112382411956787,0.9175439278284708,1.464956521987915,1.0842876434326172,0.9663218855857849,1.510245680809021,3.560855209827423,1.6171482801437378,True,0
17,physiology_only,16,1.108913818995158,0.9067983826001486,1.4599047899246216,1.0801339149475098,0.9546784162521362,1.5104244947433472,3.545236825942993,2.946331739425659,True,0
17,physiology_only,17,1.1065248648325603,0.8975866834322611,1.4565126101175945,1.0775481462478638,0.9470466375350952,1.5095627307891846,3.5341575145721436,1.3199533224105835,True,0
