sample_id,group_id,role,profile_id,trajectory_id,observed_path,observed_sha256,source_kind,ground_truth_opened,locked_test_member
g1_state_space__train_profile_000__trajectory_000__seed_100000__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_000__seed_100000,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_000__seed_100000/clean_asynchronous/raw_dual_stream.npz,7413b1e95689c77d0ead3ef3da58eddc9c961e23a95def3adde921cc6b3d1189,raw_dual_stream_only,False,False
g1_state_space__train_profile_000__trajectory_001__seed_100001__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_001__seed_100001,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_001__seed_100001/clean_asynchronous/raw_dual_stream.npz,68eb41a3a1045e89189c8c6ee575fbcd6b8e0dfd0ea5ab847a4ccdba10e0379c,raw_dual_stream_only,False,False
g1_state_space__train_profile_000__trajectory_002__seed_100002__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_002__seed_100002,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_002__seed_100002/clean_asynchronous/raw_dual_stream.npz,1c3dbdcf5c4fb0ba141411c58ece3cd382fd6545058d238df05d68b2409dac84,raw_dual_stream_only,False,False
g1_state_space__train_profile_000__trajectory_003__seed_100003__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_003__seed_100003,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_003__seed_100003/clean_asynchronous/raw_dual_stream.npz,9389051cd08c1a3c235da5bc2cf939d49b5092a3ad54498244253d16c2b0fe35,raw_dual_stream_only,False,False
g1_state_space__train_profile_000__trajectory_004__seed_100004__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_004__seed_100004,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_004__seed_100004/clean_asynchronous/raw_dual_stream.npz,4476a2a2699231ada3f047b8ca19dee28def4fd3f056decfb1f798fc09b71394,raw_dual_stream_only,False,False
g1_state_space__train_profile_000__trajectory_005__seed_100005__clean_asynchronous::context_000.000,train_profile_000,train,train_profile_000,g1_state_space__train_profile_000__trajectory_005__seed_100005,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_000/g1_state_space__train_profile_000__trajectory_005__seed_100005/clean_asynchronous/raw_dual_stream.npz,b7430ea9031698bc6232e29b36690e41d72d84bc538797d505f3977fc13c2873,raw_dual_stream_only,False,False
g1_state_space__train_profile_001__trajectory_006__seed_100006__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_006__seed_100006,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_006__seed_100006/clean_asynchronous/raw_dual_stream.npz,a3726bbf84476e64d86ea4cf37b315a06a0bd17aa64f7f857f76176c5fbead55,raw_dual_stream_only,False,False
g1_state_space__train_profile_001__trajectory_007__seed_100007__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_007__seed_100007,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_007__seed_100007/clean_asynchronous/raw_dual_stream.npz,21e964ff356b30243173f3e8b0dced97b6b5aae32e82f045aa56f38b47c1c2f6,raw_dual_stream_only,False,False
g1_state_space__train_profile_001__trajectory_008__seed_100008__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_008__seed_100008,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_008__seed_100008/clean_asynchronous/raw_dual_stream.npz,2a89cf690e5fd6fd018affb2deb8634d9e734bb10b7af519c358cb1acfbcbc9f,raw_dual_stream_only,False,False
g1_state_space__train_profile_001__trajectory_009__seed_100009__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_009__seed_100009,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_009__seed_100009/clean_asynchronous/raw_dual_stream.npz,77b0028d68fab5032196d2959d2952925c19069d953f03e290362deb40d503a8,raw_dual_stream_only,False,False
