split_id,outer_pool_id,split_kind,main_selection,role,context_id,current_maneuver_score,future_maneuver_score,maneuver_score_delta,maneuver_trend_class,current_valid_semantic_count,future_valid_semantic_count,target_sample_id,fit_sample_hash,status,outer_test_opened
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0005,0.03989872570119198,0.09274556023623987,0.05284683453504788,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0006,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0006,0.09274556023623987,0.2876807167742949,0.19493515653805504,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0007,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0007,0.2876807167742949,0.30550802486893264,0.017827308094637728,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0008,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0008,0.30550802486893264,0.9724974900630917,0.666989465194159,2,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0009,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0009,0.9724974900630917,0.34865558551917303,-0.6238419045439187,0,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0010,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0010,0.34865558551917303,0.446166765777712,0.097511180258539,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0011,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0011,0.446166765777712,0.16679908359590287,-0.2793676821818092,0,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0012,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0012,0.16679908359590287,0.21702866822491082,0.05022958462900795,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0013,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0013,0.21702866822491082,0.36321205311653504,0.14618338489162422,1,6,6,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::20251002_单01_ACT-8_翼云_J16_12#01:0014,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,train,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0024,1.1755318535075963,0.549204324916248,-0.6263275285913482,0,6,6,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0025,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,completed,False
