row_type,family,metric_name,metric_value,translation_vertical_enabled,rotation_status,rotation_disabled_reason,rotation_disabled_reason_cn,source_path,evidence_layer,axis,field_type,stage_h_candidate_count,mysql_candidate_count,available,availability_label
family_metric,minimal,test_total,1110.7086181640625,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,minimal,test_alignment,0.09487661719322205,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,minimal,test_physics_total,11088.6591796875,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,full,test_total,2.1334598064422607,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,full,test_alignment,0.10848616063594818,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,full,test_physics_total,2.6374268531799316,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,rigid_body,test_total,2.484066963195801,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,rigid_body,test_alignment,0.11162154376506805,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
family_metric,rigid_body,test_physics_total,6.105468273162842,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；旋转残差未启用,docs/artifacts/assets/stage_i_rigid_body/20260607T-stage-i-rigid-body-r2/rigid_body_ablation_summary.json,rigid_body_rotation_diagnostics,,,,,,
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,pitch,angle,1.0,4.0,True,available
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,pitch,rate,0.0,0.0,False,missing
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,roll,angle,1.0,4.0,True,available
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,roll,rate,0.0,0.0,False,missing
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,yaw,angle,1.0,4.0,True,available
rotation_field_matrix,,,,True,disabled,current sortie still lacks paired rate fields for pitch/roll/yaw,缺少成对 pitch/roll/yaw 角速度字段；标记为字段边界,docs/artifacts/assets/stage_i_rotation_audit/20260619T-stage-i-rotation-audit-r3-figure-refresh/rigid_body_rotation_audit_summary.json,rotation_diagnostics,yaw,rate,0.0,0.0,False,missing
