seed,method_name,epoch,step,term_name,weight,raw_loss,weighted_loss,count,status
17,chronaris,1,1,chronaris_continuous_alignment,0.0,1.0907591581344604,0.0,7459,scheduled_zero_or_unavailable
17,chronaris,1,1,chronaris_physical_consistency,0.0,1.3712828159332275,0.0,5,scheduled_zero_or_unavailable
17,chronaris,1,1,chronaris_causal_direction,0.0,0.1019117459654808,0.0,7459,scheduled_zero_or_unavailable
17,chronaris,2,1,chronaris_continuous_alignment,0.0,1.0942424535751343,0.0,6789,scheduled_zero_or_unavailable
17,chronaris,2,1,chronaris_physical_consistency,0.0,1.0692859888076782,0.0,5,scheduled_zero_or_unavailable
17,chronaris,2,1,chronaris_causal_direction,0.0,0.10763456672430038,0.0,6789,scheduled_zero_or_unavailable
17,chronaris,3,1,chronaris_continuous_alignment,0.0,1.0638118982315063,0.0,7331,scheduled_zero_or_unavailable
17,chronaris,3,1,chronaris_physical_consistency,0.0,0.9341961741447449,0.0,5,scheduled_zero_or_unavailable
17,chronaris,3,1,chronaris_causal_direction,0.0,0.10799349844455719,0.0,7331,scheduled_zero_or_unavailable
17,chronaris,4,1,chronaris_continuous_alignment,0.0,1.0432519912719727,0.0,6962,scheduled_zero_or_unavailable
17,chronaris,4,1,chronaris_physical_consistency,0.0,0.7339158654212952,0.0,5,scheduled_zero_or_unavailable
17,chronaris,4,1,chronaris_causal_direction,0.0,0.10705164819955826,0.0,6962,scheduled_zero_or_unavailable
17,chronaris,5,1,chronaris_continuous_alignment,0.0,1.0548584461212158,0.0,7209,scheduled_zero_or_unavailable
17,chronaris,5,1,chronaris_physical_consistency,0.0,2.044581174850464,0.0,5,scheduled_zero_or_unavailable
17,chronaris,5,1,chronaris_causal_direction,0.0,0.1075030043721199,0.0,7209,scheduled_zero_or_unavailable
17,chronaris,6,1,chronaris_continuous_alignment,0.0,1.0524964332580566,0.0,7473,scheduled_zero_or_unavailable
17,chronaris,6,1,chronaris_physical_consistency,0.0,0.6987870931625366,0.0,5,scheduled_zero_or_unavailable
17,chronaris,6,1,chronaris_causal_direction,0.0,0.1064741238951683,0.0,7473,scheduled_zero_or_unavailable
