stream_kind,measurement_group,feature_name,llm_semantic_role,llm_unit_guess,evidence,confidence,needs_human_review
physiology,eeg,eeg.af3,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.af4,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.f3,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.f4,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.f7,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.f8,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.fp1,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.fp2,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.fpz,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,eeg,eeg.fz,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,spo2,spo2.toi1,physiological_load,,schema_card field name and measurement group,0.7,True
physiology,spo2,spo2.toi2,physiological_load,,schema_card field name and measurement group,0.7,True
vehicle,BUS6000019110015,BUS6000019110015.code1002,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1003,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1004,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1005,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1006,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1007,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1016,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1017,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1018,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1019,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1020,risk_signal,,schema_card field name and measurement group,0.3,True
vehicle,BUS6000019110015,BUS6000019110015.code1021,risk_signal,,schema_card field name and measurement group,0.3,True
