seed,method,epoch,train_loss,selection_loss,selection_role,improved,epochs_without_improvement,gradient_norm_before_clip,valid_query_count
17,physiology_only,1,1.8635191917419434,1.672165036201477,validation,True,0,3.242526054382324,36864
17,physiology_only,2,1.6780234575271606,1.606044888496399,validation,True,0,1.4731162786483765,36864
17,physiology_only,3,1.6156493425369263,1.5681841373443604,validation,True,0,1.265579104423523,36864
17,physiology_only,4,1.5873701572418213,1.534361720085144,validation,True,0,1.4596234560012817,36864
17,physiology_only,5,1.5494989156723022,1.5133156776428223,validation,True,0,1.277132511138916,36864
17,physiology_only,6,1.5126240253448486,1.5147145986557007,validation,False,1,0.7542219758033752,36864
17,physiology_only,7,1.4921720027923584,1.5266938209533691,validation,False,2,0.6070289015769958,36864
17,physiology_only,8,1.484043002128601,1.5354406833648682,validation,False,3,0.6864653825759888,36864
17,physiology_only,9,1.4837217330932617,1.5339784622192383,validation,False,4,0.7819883227348328,36864
17,physiology_only,10,1.4793593883514404,1.5245338678359985,validation,False,5,0.7973025441169739,36864
17,physiology_only,11,1.4686540365219116,1.514966368675232,validation,False,6,0.605161190032959,36864
17,vehicle_only,1,1.6293891668319702,1.5631331205368042,validation,True,0,0.5438678860664368,36864
17,vehicle_only,2,1.5752938985824585,1.5274062156677246,validation,True,0,0.40658608078956604,36864
17,vehicle_only,3,1.533439040184021,1.4952667951583862,validation,True,0,0.358974426984787,36864
17,vehicle_only,4,1.496591329574585,1.462816596031189,validation,True,0,0.36139214038848877,36864
17,vehicle_only,5,1.460903525352478,1.4281343221664429,validation,True,0,0.38719937205314636,36864
17,vehicle_only,6,1.4242151975631714,1.390641450881958,validation,True,0,0.41560620069503784,36864
17,vehicle_only,7,1.3861174583435059,1.350737452507019,validation,True,0,0.43503743410110474,36864
17,vehicle_only,8,1.3449801206588745,1.3092849254608154,validation,True,0,0.44435763359069824,36864
17,vehicle_only,9,1.3051936626434326,1.267579197883606,validation,True,0,0.44154518842697144,36864
17,vehicle_only,10,1.2658586502075195,1.2270455360412598,validation,True,0,0.42582595348358154,36864
17,vehicle_only,11,1.2266185283660889,1.1890064477920532,validation,True,0,0.40878206491470337,36864
17,vehicle_only,12,1.1923818588256836,1.1541470289230347,validation,True,0,0.39794158935546875,36864
17,vehicle_only,13,1.158004879951477,1.1223772764205933,validation,True,0,0.40579769015312195,36864
17,vehicle_only,14,1.1262136697769165,1.0932199954986572,validation,True,0,0.4172096252441406,36864
17,vehicle_only,15,1.095211148262024,1.066126823425293,validation,True,0,0.4077516496181488,36864
17,vehicle_only,16,1.067672848701477,1.0404021739959717,validation,True,0,0.3908839225769043,36864
17,vehicle_only,17,1.040218710899353,1.0152075290679932,validation,True,0,0.37027257680892944,36864
17,vehicle_only,18,1.0109485387802124,0.9895046949386597,validation,True,0,0.35908281803131104,36864
17,vehicle_only,19,0.9844946265220642,0.963112473487854,validation,True,0,0.3505600392818451,36864
17,vehicle_only,20,0.9570015668869019,0.9372032880783081,validation,True,0,0.3369596600532532,36864
17,vehicle_only,21,0.9339223504066467,0.9129018783569336,validation,True,0,0.3262351155281067,36864
17,vehicle_only,22,0.9096686840057373,0.8911250829696655,validation,True,0,0.3117610514163971,36864
17,vehicle_only,23,0.8902822136878967,0.8723257780075073,validation,True,0,0.30595511198043823,36864
17,vehicle_only,24,0.8688339591026306,0.855442225933075,validation,True,0,0.2870340943336487,36864
17,vehicle_only,25,0.8521274328231812,0.8388289213180542,validation,True,0,0.27955731749534607,36864
17,vehicle_only,26,0.8305326104164124,0.8211956024169922,validation,True,0,0.2891826927661896,36864
17,vehicle_only,27,0.8161100149154663,0.8043043613433838,validation,True,0,0.26886916160583496,36864
17,vehicle_only,28,0.7981852293014526,0.7888392806053162,validation,True,0,0.2644760012626648,36864
17,vehicle_only,29,0.7839773893356323,0.775113046169281,validation,True,0,0.24667905271053314,36864
17,vehicle_only,30,0.7687864899635315,0.7632201313972473,validation,True,0,0.2296833097934723,36864
17,vehicle_only,31,0.7554779648780823,0.7526682019233704,validation,True,0,0.21437610685825348,36864
17,vehicle_only,32,0.7411099076271057,0.7426053881645203,validation,True,0,0.20541007816791534,36864
17,vehicle_only,33,0.725361704826355,0.7326855063438416,validation,True,0,0.20873068273067474,36864
17,vehicle_only,34,0.7152437567710876,0.7239961624145508,validation,True,0,0.18224205076694489,36864
17,vehicle_only,35,0.7067035436630249,0.7172839045524597,validation,True,0,0.18690018355846405,36864
17,vehicle_only,36,0.6948949098587036,0.7118592262268066,validation,True,0,0.16621844470500946,36864
17,vehicle_only,37,0.6852101683616638,0.7069295644760132,validation,True,0,0.16085509955883026,36864
17,vehicle_only,38,0.680500328540802,0.7016758918762207,validation,True,0,0.16447892785072327,36864
17,vehicle_only,39,0.6712762117385864,0.6963431239128113,validation,True,0,0.15404003858566284,36864
17,vehicle_only,40,0.6639721989631653,0.6901839971542358,validation,True,0,0.16170723736286163,36864
17,naive_time_sync,1,2.5775818824768066,2.1761796474456787,validation,True,0,9.403664588928223,36864
17,naive_time_sync,2,2.1283228397369385,1.8441410064697266,validation,True,0,6.789807319641113,36864
17,naive_time_sync,3,1.8330729007720947,1.641361951828003,validation,True,0,4.919428825378418,36864
17,naive_time_sync,4,1.654843807220459,1.4931621551513672,validation,True,0,4.107127666473389,36864
17,naive_time_sync,5,1.524529218673706,1.3731905221939087,validation,True,0,3.640779972076416,36864
17,naive_time_sync,6,1.4111543893814087,1.2760188579559326,validation,True,0,3.056774616241455,36864
17,naive_time_sync,7,1.3171709775924683,1.2052242755889893,validation,True,0,2.2464332580566406,36864
17,naive_time_sync,8,1.2410212755203247,1.1522430181503296,validation,True,0,1.6620714664459229,36864
17,naive_time_sync,9,1.1840864419937134,1.0995862483978271,validation,True,0,1.733041524887085,36864
17,naive_time_sync,10,1.1279228925704956,1.0472370386123657,validation,True,0,1.646977186203003,36864
17,naive_time_sync,11,1.074244737625122,1.003130316734314,validation,True,0,1.2842531204223633,36864
17,naive_time_sync,12,1.0336116552352905,0.9647377729415894,validation,True,0,1.1415133476257324,36864
17,naive_time_sync,13,0.9912827014923096,0.926615834236145,validation,True,0,1.1509497165679932,36864
17,naive_time_sync,14,0.9536163210868835,0.889128565788269,validation,True,0,1.030044674873352,36864
17,naive_time_sync,15,0.9213376641273499,0.8565786480903625,validation,True,0,0.9142237901687622,36864
17,naive_time_sync,16,0.8923401236534119,0.8284081220626831,validation,True,0,0.9750825762748718,36864
17,naive_time_sync,17,0.8694217205047607,0.8061265349388123,validation,True,0,0.9610099196434021,36864
17,naive_time_sync,18,0.8376350402832031,0.7901418805122375,validation,True,0,0.7093470692634583,36864
17,naive_time_sync,19,0.8171964883804321,0.7749510407447815,validation,True,0,0.7697088122367859,36864
17,naive_time_sync,20,0.7955753207206726,0.7605213522911072,validation,True,0,0.6802188158035278,36864
17,naive_time_sync,21,0.7792701721191406,0.748726487159729,validation,True,0,0.6607985496520996,36864
17,naive_time_sync,22,0.760528564453125,0.7379558682441711,validation,True,0,0.673957884311676,36864
17,naive_time_sync,23,0.7487125396728516,0.7277554273605347,validation,True,0,0.6478514075279236,36864
17,naive_time_sync,24,0.7298160195350647,0.7165460586547852,validation,True,0,0.5224491953849792,36864
17,naive_time_sync,25,0.7194848656654358,0.7045605778694153,validation,True,0,0.5023444294929504,36864
17,naive_time_sync,26,0.7032526731491089,0.6940625905990601,validation,True,0,0.4771140217781067,36864
17,naive_time_sync,27,0.6914133429527283,0.6869155764579773,validation,True,0,0.4119512140750885,36864
17,naive_time_sync,28,0.6823683381080627,0.6809048056602478,validation,True,0,0.5630136728286743,36864
17,naive_time_sync,29,0.6728377342224121,0.6765973567962646,validation,True,0,0.3841645121574402,36864
17,naive_time_sync,30,0.6625874638557434,0.6731963753700256,validation,True,0,0.3915890157222748,36864
17,naive_time_sync,31,0.6566059589385986,0.6676487922668457,validation,True,0,0.5448684096336365,36864
17,naive_time_sync,32,0.649652898311615,0.6635094881057739,validation,True,0,0.40229853987693787,36864
17,naive_time_sync,33,0.6370362043380737,0.6574800610542297,validation,True,0,0.38158681988716125,36864
17,naive_time_sync,34,0.628961980342865,0.6482954025268555,validation,True,0,0.5118717551231384,36864
17,naive_time_sync,35,0.6192871332168579,0.6428117752075195,validation,True,0,0.34653469920158386,36864
17,naive_time_sync,36,0.6166136860847473,0.6403802037239075,validation,True,0,0.45774441957473755,36864
17,naive_time_sync,37,0.6089951992034912,0.6373630166053772,validation,True,0,0.41912540793418884,36864
17,naive_time_sync,38,0.6027553677558899,0.6337133646011353,validation,True,0,0.33382558822631836,36864
17,naive_time_sync,39,0.5998566150665283,0.6292452812194824,validation,True,0,0.36884480714797974,36864
17,naive_time_sync,40,0.5916984677314758,0.6264820098876953,validation,True,0,0.33560910820961,36864
17,mult,1,1.8762348890304565,1.693453311920166,validation,True,0,2.3267650604248047,36864
17,mult,2,1.6888790130615234,1.5977240800857544,validation,True,0,1.542721152305603,36864
17,mult,3,1.5810080766677856,1.5453778505325317,validation,True,0,0.9809097051620483,36864
17,mult,4,1.5234448909759521,1.4846631288528442,validation,True,0,1.1213438510894775,36864
17,mult,5,1.4630464315414429,1.4127328395843506,validation,True,0,1.1869629621505737,36864
17,mult,6,1.3968710899353027,1.3452242612838745,validation,True,0,0.9674790501594543,36864
17,mult,7,1.3353335857391357,1.2890136241912842,validation,True,0,0.7813254594802856,36864
17,mult,8,1.283349871635437,1.239681363105774,validation,True,0,0.8122352361679077,36864
17,mult,9,1.234379768371582,1.1922919750213623,validation,True,0,0.883375883102417,36864
17,mult,10,1.1853646039962769,1.144243597984314,validation,True,0,0.9230690002441406,36864
17,mult,11,1.135679841041565,1.0964757204055786,validation,True,0,0.8610096573829651,36864
17,mult,12,1.0858832597732544,1.0521223545074463,validation,True,0,0.7274096012115479,36864
17,mult,13,1.0379595756530762,1.0125983953475952,validation,True,0,0.6142358183860779,36864
17,mult,14,0.9991632103919983,0.9760195016860962,validation,True,0,0.6130190491676331,36864
17,mult,15,0.9614545106887817,0.9410141706466675,validation,True,0,0.6460558772087097,36864
17,mult,16,0.925652265548706,0.9087712168693542,validation,True,0,0.6205525398254395,36864
17,mult,17,0.8921022415161133,0.8809824585914612,validation,True,0,0.5463685393333435,36864
17,mult,18,0.8621513247489929,0.8571653366088867,validation,True,0,0.5174623727798462,36864
17,mult,19,0.8355404138565063,0.8349997401237488,validation,True,0,0.5302008986473083,36864
17,mult,20,0.8135072588920593,0.8138381242752075,validation,True,0,0.5003657341003418,36864
17,mult,21,0.7905519008636475,0.7945850491523743,validation,True,0,0.4087409973144531,36864
17,mult,22,0.7685611248016357,0.7774209976196289,validation,True,0,0.36179685592651367,36864
17,mult,23,0.7544625401496887,0.7613138556480408,validation,True,0,0.3809601068496704,36864
17,mult,24,0.7382498979568481,0.7464175224304199,validation,True,0,0.3683299422264099,36864
17,mult,25,0.7223770618438721,0.7334864139556885,validation,True,0,0.317561537027359,36864
17,mult,26,0.7086811065673828,0.7222710251808167,validation,True,0,0.3038887083530426,36864
17,mult,27,0.6935462355613708,0.7125199437141418,validation,True,0,0.29400622844696045,36864
