optimizer_update,pretraining_chronaris_causal_direction,pretraining_chronaris_continuous_alignment,pretraining_chronaris_physical_consistency,pretraining_explicit_time_shift,pretraining_lag_discrimination,pretraining_masked_reconstruction,pretraining_observation_anchor,pretraining_short_horizon_prediction,gradient_norm_before_clip,guided_task_loss,guided_public_loss,guided_mechanism_loss
1,0.10675387922674417,0.9329389929771423,2.9465604573488235,,0.7402951866388321,0.8829259946942329,0.8793263211846352,0.8407852053642273,0.9878273010253906,1.1697533652186394,0.6395566873252392,0.6041089966893196
2,0.1126178028061986,0.9270161166787148,1.9949863851070404,,0.7380890473723412,0.8221837431192398,0.8211672604084015,0.8013165071606636,0.9291437268257141,1.2444895952939987,0.5210061967372894,0.5409544482827187
3,0.12026815861463547,0.9383187964558601,3.2410758435726166,,0.7349884808063507,0.8759245425462723,0.8755933865904808,0.8468229472637177,0.8818771839141846,1.112226203083992,0.5294459387660027,1.2410504594445229
4,0.11956756189465523,0.9360605552792549,2.280819848179817,,0.7243554592132568,0.8475412875413895,0.8538434132933617,0.8277311623096466,0.9345407485961914,1.093566969037056,0.5192562937736511,0.5460622720420361
5,0.1136789433658123,0.9418225437402725,2.6632561534643173,,0.7324323207139969,0.8663453385233879,0.8702361062169075,0.8698275834321976,0.8447093963623047,1.1277996227145195,0.5432001017034054,0.552982572466135
6,0.10488433763384819,0.922398716211319,17.449441149830818,,0.7215751633048058,0.7920204699039459,0.8043146505951881,0.7787468731403351,0.8242462873458862,1.033672496676445,0.6493119150400162,0.6272591091692448
7,0.11375500075519085,0.9528339207172394,2.7986773252487183,,0.7145511582493782,0.8424910753965378,0.8731835782527924,0.8498802930116653,0.7995468378067017,1.1474321484565735,0.33220273070037365,0.3084084950387478
8,0.11607442796230316,0.9377436563372612,2.5693147480487823,,0.7180152386426926,0.7878042310476303,0.7774642556905746,0.7872132509946823,0.7678306102752686,1.1847234144806862,0.31281131505966187,0.2855270281434059
9,0.10458929650485516,0.9366377294063568,3.3466306775808334,,0.7144308909773827,0.41537079587578773,0.43376825004816055,0.41099713742733,0.8723056316375732,1.1708404421806335,0.3114353585988283,0.3139088563621044
10,0.10463488381356001,0.9299787804484367,3.767249196767807,,0.7131651341915131,0.4020870812237263,0.4202544242143631,0.4094311185181141,0.8029183745384216,1.2038604468107224,0.29590397886931896,0.320029653608799
11,0.09773551393300295,0.9390596300363541,4.896481990814209,,0.7107550650835037,0.3687412142753601,0.3791261352598667,0.3664417490363121,0.7882533669471741,1.1114546805620193,0.35083291679620743,0.38300006091594696
12,0.10814307816326618,0.9558263421058655,2.8699402809143066,,0.701066866517067,0.41934237256646156,0.4192696586251259,0.41453613713383675,0.8022928833961487,1.1849932968616486,0.3584189936518669,0.39517195895314217
13,0.10041285865008831,0.9500709846615791,4.603485941886902,,0.7074843868613243,0.4710356779396534,0.43953205086290836,0.44927870109677315,0.8147085905075073,1.0546134263277054,0.3881528489291668,0.4176360219717026
14,0.09187351260334253,0.8172251805663109,15115.127023234963,,0.6981622150966099,0.3540196418762207,0.36653054133057594,0.3531702235341072,0.7441758513450623,1.172941617667675,0.3047250956296921,0.3197607174515724
15,0.10125639382749796,0.9565230906009674,3.9717220067977905,,0.7004360035061836,0.4076971374452114,0.39533646777272224,0.3945939540863037,0.7204974293708801,1.010265700519085,0.6009226366877556,0.5664470680058002
16,0.09721478447318077,0.9463956579566002,10.826958522200584,,0.6999225839972496,0.40694254264235497,0.38986823335289955,0.3908222056925297,0.6748904585838318,1.135940745472908,0.5714625120162964,0.6154079623520374
17,0.11161574814468622,0.9773622900247574,10834.691608011723,,0.7071911618113518,0.7398057691752911,0.6989434361457825,0.7333103567361832,0.5035521388053894,1.0273464173078537,0.6000065468251705,0.6093834079802036
18,0.09969436470419168,0.9487258717417717,3.077477589249611,,0.6991784200072289,0.795023150742054,0.7411633878946304,0.7914168387651443,0.4949452877044678,1.0254839658737183,0.5720737054944038,0.6037652119994164
19,0.1107378089800477,0.9564890041947365,3.3969193398952484,,0.6918312162160873,0.755031518638134,0.709974117577076,0.7457997426390648,0.45324715971946716,1.1102379783988,0.6011756993830204,0.6248698756098747
20,0.10993628203868866,0.9563757106661797,3.2022989988327026,,0.6898281872272491,0.6671506762504578,0.6449159793555737,0.6662249378859997,0.4546841084957123,1.0257228165864944,0.5407168418169022,0.5599430650472641
21,0.10200440045446157,0.9691690653562546,3.3432871401309967,,0.6894815564155579,0.7020787447690964,0.6924664601683617,0.708513155579567,0.4273371398448944,1.0093499720096588,0.574126735329628,0.596858449280262
22,0.10765580739825964,0.9700669944286346,2.797953173518181,,0.6910581514239311,0.6677659898996353,0.6561381220817566,0.672018975019455,0.4006931781768799,1.0410726740956306,0.5522081963717937,0.5848101079463959
23,0.09968196414411068,0.9654590338468552,2.0567608773708344,,0.6877729967236519,0.6665513589978218,0.6627136021852493,0.6685566455125809,0.41710296273231506,1.1644991412758827,0.3276190459728241,0.3372957818210125
24,0.1039199735969305,0.9551005065441132,2.313517138361931,,0.6858393177390099,0.7430749535560608,0.7068570218980312,0.7366065122187138,0.3670909106731415,1.0803154036402702,0.3255347013473511,0.3514409027993679
25,0.09642929024994373,0.9492493718862534,2.970112532377243,,0.7015226185321808,0.35446373373270035,0.35342487320303917,0.3594472464174032,0.5155906677246094,1.0993234366178513,0.34141887351870537,0.28277588821947575
26,0.10753105860203505,0.9453876167535782,2.9070710241794586,,0.6953983381390572,0.366128783673048,0.3328102398663759,0.3489667531102896,0.5562905669212341,1.0635078102350235,0.392169464379549,0.32925383374094963
27,0.09776469599455595,0.9434262439608574,2.8440848290920258,,0.6846791878342628,0.33503884077072144,0.3233370706439018,0.3381713666021824,0.4634206295013428,1.081577219069004,0.36324470676481724,0.3789125792682171
28,0.0978790745139122,0.9356995970010757,4.017487213015556,,0.6892673820257187,0.38003408536314964,0.3512859493494034,0.3742307014763355,0.44083261489868164,1.081922985613346,0.29740478470921516,0.27548330649733543
29,0.10727235861122608,0.9587102457880974,2.705694481730461,,0.6941530331969261,0.45356717333197594,0.39759888872504234,0.43985677137970924,0.4711817800998688,1.0866378024220467,0.3104355949908495,0.3046790026128292
30,0.10372718889266253,0.9356856942176819,3.094940349459648,,0.6853064671158791,0.4122011512517929,0.3438341785222292,0.3962396364659071,0.42532193660736084,1.0247402712702751,0.3211996704339981,0.3033324535936117
31,0.10243353806436062,0.942846991121769,7.023549407720566,,0.6708367541432381,0.4643118306994438,0.42484020441770554,0.4637160152196884,0.43179476261138916,1.0994781851768494,0.6675747409462929,0.5970042571425438
32,0.10583081562072039,0.9069779366254807,2.2865993604063988,,0.670895554125309,0.33863673359155655,0.29720707051455975,0.33905153535306454,0.4121374785900116,1.0606121718883514,0.619690828025341,0.6245300844311714
33,0.10970261599868536,0.9235010743141174,1.8891667276620865,,0.6867904961109161,0.8173318430781364,0.769279919564724,0.8174399957060814,0.9142098426818848,1.0605339705944061,0.6547092795372009,0.6014098823070526
34,0.10666507109999657,0.9237835556268692,3.132130414247513,,0.6830150261521339,0.7852028384804726,0.7247298061847687,0.7803431153297424,0.8982188105583191,1.1424656733870506,0.5509801059961319,0.5583902634680271
35,0.12124483473598957,0.9379257038235664,1.7470775917172432,,0.6782257407903671,0.8242838010191917,0.7643315866589546,0.8283122554421425,0.878645658493042,1.0361916422843933,0.6019895300269127,0.5800358653068542
36,0.10579051449894905,0.9180193617939949,2.7118615359067917,,0.6785348132252693,0.8144422546029091,0.7528909221291542,0.8106023594737053,0.8807348608970642,1.0218351557850838,0.5723255276679993,0.5162186250090599
37,0.11104430351406336,0.9223448112607002,1.755201280117035,,0.6797858476638794,0.8817109540104866,0.774699904024601,0.8483393266797066,0.7846903204917908,1.0533915162086487,0.4889030307531357,0.5341057404875755
38,0.10883803386241198,0.9091445431113243,3.127360016107559,,0.672842413187027,0.759893573820591,0.6903189122676849,0.7637670561671257,0.7926108241081238,0.9613707065582275,0.6209714412689209,0.5744376480579376
39,0.12115168571472168,0.927359975874424,3.4803447499871254,,0.671651802957058,0.8455860018730164,0.7777544558048248,0.8344393819570541,0.7895283102989197,0.9986614137887955,0.31840862333774567,0.32004151679575443
40,0.1229236088693142,0.8966265022754669,3.7085813134908676,,0.6748574897646904,0.7900583744049072,0.6992720142006874,0.7733634486794472,0.7476596236228943,1.000181868672371,0.3299898337572813,0.30220852233469486
41,0.10954462643712759,0.913085974752903,2.185923293232918,,0.6797566041350365,0.357243649661541,0.3184979483485222,0.3578663133084774,0.6186589598655701,1.014794021844864,0.3211733605712652,0.28756474517285824
42,0.11069438885897398,0.9148494154214859,2.6158388555049896,,0.6719918698072433,0.35886311158537865,0.3187697883695364,0.3613652214407921,0.5294996500015259,1.0445941090583801,0.3378399945795536,0.3367325980216265
43,0.1096155233681202,0.9214740842580795,3.632227271795273,,0.6687050014734268,0.3395610172301531,0.26698069274425507,0.3200816586613655,0.5480678081512451,0.9629631116986275,0.4173090234398842,0.3614971525967121
44,0.10809878259897232,0.9157396927475929,3.1036440581083298,,0.6717655584216118,0.3687760978937149,0.324105653911829,0.3634541593492031,0.5151830911636353,1.024689331650734,0.3208822663873434,0.33114889822900295
45,0.09291054820641875,0.9125833809375763,3.8783922493457794,,0.6742087230086327,0.41640710458159447,0.3366822060197592,0.40114083141088486,0.488947331905365,0.928306370973587,0.40892576053738594,0.4106978699564934
46,0.10763469524681568,0.9120065346360207,4.1797720938920975,,0.662544846534729,0.3132164180278778,0.24931391887366772,0.3088241722434759,0.40449562668800354,1.0405215173959732,0.32949207350611687,0.2999371849000454
47,0.10924615990370512,0.9361681193113327,3.2869980335235596,,0.6599655896425247,0.3677710350602865,0.292860371991992,0.3513781540095806,0.4239002466201782,0.8951662257313728,0.5775543227791786,0.5637586712837219
48,0.10479535721242428,0.9109304547309875,4.2097587287425995,,0.6658971756696701,0.3658878691494465,0.2954996470361948,0.34754765033721924,0.39441952109336853,1.0300032198429108,0.6983866095542908,0.5473583489656448
49,0.10453043971210718,0.9151361435651779,5.628185138106346,,0.6582569852471352,0.7001695968210697,0.6409764587879181,0.7086897678673267,0.36736857891082764,0.9080981239676476,0.5869963802397251,0.5988901853561401
50,0.09982933476567268,0.8844149559736252,1.804419383406639,,0.6769714653491974,0.7285399660468102,0.6811196282505989,0.7603534162044525,0.398060142993927,0.9153790175914764,0.6763200983405113,0.5821141004562378
51,0.1075729364529252,0.9023985713720322,3.999142713844776,1.958728775382042,0.6539646536111832,0.7219488807022572,0.6391659639775753,0.7182740978896618,0.369843989610672,0.9788780212402344,0.5993068888783455,0.8479816243052483
52,0.10386672429740429,0.9021046161651611,2.047552689909935,1.6400595158338547,0.6625942885875702,0.6175761856138706,0.5689512602984905,0.6349178031086922,0.33722949028015137,0.9149047136306763,0.6173625662922859,0.5397977866232395
