candidate_id,gate_index,gate_value,outer_test_opened,split_id,task
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,maneuver
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,maneuver_score
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,response
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,high_response
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,maneuver
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,maneuver_score
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,response
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_327,high_response
partial_ratio_0.02,0,0.04720192030072212,False,leave_one_view_out__fold01__candidate_339,maneuver
partial_ratio_0.02,0,0.046754222363233566,False,leave_one_view_out__fold01__candidate_339,maneuver_score
partial_ratio_0.02,0,0.04675424471497536,False,leave_one_view_out__fold01__candidate_339,response
partial_ratio_0.02,0,0.046754222363233566,False,leave_one_view_out__fold01__candidate_339,high_response
partial_ratio_0.05,0,0.04720192030072212,False,leave_one_view_out__fold01__candidate_339,maneuver
partial_ratio_0.05,0,0.046754222363233566,False,leave_one_view_out__fold01__candidate_339,maneuver_score
partial_ratio_0.05,0,0.04720190912485123,False,leave_one_view_out__fold01__candidate_339,response
partial_ratio_0.05,0,0.04720185697078705,False,leave_one_view_out__fold01__candidate_339,high_response
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,maneuver
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,maneuver_score
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,response
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,high_response
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,maneuver
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,maneuver_score
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,response
partial_ratio_0.05,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_340,high_response
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_353,maneuver
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_353,maneuver_score
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_353,response
partial_ratio_0.02,0,0.04742587357759476,False,leave_one_view_out__fold01__candidate_353,high_response
partial_ratio_0.05,0,0.04752819240093231,False,leave_one_view_out__fold01__candidate_353,maneuver
partial_ratio_0.05,0,0.046352338045835495,False,leave_one_view_out__fold01__candidate_353,maneuver_score
partial_ratio_0.05,0,0.046671122312545776,False,leave_one_view_out__fold01__candidate_353,response
partial_ratio_0.05,0,0.047327373176813126,False,leave_one_view_out__fold01__candidate_353,high_response
partial_ratio_0.02,0,0.05441094562411308,False,leave_one_view_out__fold02__candidate_328,maneuver
partial_ratio_0.02,0,0.04811738058924675,False,leave_one_view_out__fold02__candidate_328,maneuver_score
partial_ratio_0.02,0,0.05345289781689644,False,leave_one_view_out__fold02__candidate_328,response
partial_ratio_0.02,0,0.05429587885737419,False,leave_one_view_out__fold02__candidate_328,high_response
partial_ratio_0.05,0,0.05367112532258034,False,leave_one_view_out__fold02__candidate_328,maneuver
partial_ratio_0.05,0,0.047718197107315063,False,leave_one_view_out__fold02__candidate_328,maneuver_score
partial_ratio_0.05,0,0.052699971944093704,False,leave_one_view_out__fold02__candidate_328,response
partial_ratio_0.05,0,0.05353875458240509,False,leave_one_view_out__fold02__candidate_328,high_response
partial_ratio_0.02,0,0.0490509532392025,False,leave_one_view_out__fold02__candidate_329,maneuver
partial_ratio_0.02,0,0.048471786081790924,False,leave_one_view_out__fold02__candidate_329,maneuver_score
partial_ratio_0.02,0,0.048883289098739624,False,leave_one_view_out__fold02__candidate_329,response
partial_ratio_0.02,0,0.04893898591399193,False,leave_one_view_out__fold02__candidate_329,high_response
partial_ratio_0.05,0,0.0490509532392025,False,leave_one_view_out__fold02__candidate_329,maneuver
partial_ratio_0.05,0,0.048471786081790924,False,leave_one_view_out__fold02__candidate_329,maneuver_score
partial_ratio_0.05,0,0.048883289098739624,False,leave_one_view_out__fold02__candidate_329,response
partial_ratio_0.05,0,0.04893898591399193,False,leave_one_view_out__fold02__candidate_329,high_response
